cust_id,sale_date,sale_amt
68,2013-07-04,201600
8,2013-07-05,47400
68,2013-07-08,100000
68,2013-07-08,350000
8,2013-07-09,1000000
8,2013-07-10,1125750
18,2013-07-12,78310
6,2013-07-13,175000
6,2013-07-13,145730
8,2013-07-16,501600
76,2013-07-17,376600
76,2013-07-17,306600
76,2013-07-17,250600
76,2013-07-17,208600
76,2013-07-17,203000
76,2013-07-17,174400
76,2013-07-17,57400
76,2013-07-17,39000
76,2013-07-17,25040
36,2013-07-18,254400
6,2013-07-19,18620
6,2013-07-19,381520
18,2013-07-19,68600
18,2013-07-19,54690
76,2013-07-19,241200
76,2013-07-19,208600
76,2013-07-19,14400
6,2013-07-29,104500
6,2013-07-29,200000
6,2013-07-31,20000
31,2013-08-01,383300
31,2013-08-02,114000
31,2013-08-02,60800
46,2013-08-04,152950
31,2013-08-05,341500
31,2013-08-05,3190000
14,2013-08-08,283100
14,2013-08-08,254600
68,2013-08-08,349000
68,2013-08-08,220000
46,2013-08-13,403560
46,2013-08-13,113050
46,2013-08-13,77900
46,2013-08-13,35000
46,2013-08-13,19000
76,2013-08-13,43000
76,2013-08-13,29400
4,2013-08-14,473100
4,2013-08-14,121600
4,2013-08-14,266000
4,2013-08-14,232750
4,2013-08-14,80750
4,2013-08-14,56240
31,2013-08-14,30400
31,2013-08-14,37050
31,2013-08-14,32000
31,2013-08-14,10000
36,2013-08-14,150000
46,2013-08-14,51870
46,2013-08-14,51870
46,2013-08-14,49000
46,2013-08-14,160740
46,2013-08-14,92150
46,2013-08-14,46550
46,2013-08-14,19000
46,2013-08-14,10000
31,2013-08-16,5000000
31,2013-08-18,10000
6,2013-08-21,125020
6,2013-08-21,391000
76,2013-08-21,518700
99,2013-08-21,285000
31,2013-08-22,409000
36,2013-08-22,150000
76,2013-08-22,518700
76,2013-08-22,40500
8,2013-08-23,406600
76,2013-08-23,55800
76,2013-08-23,511100
76,2013-08-23,501600
76,2013-08-23,248900
76,2013-08-23,170000
6,2013-08-24,1620000
6,2013-08-24,129200
18,2013-08-24,15150
46,2013-08-24,280000
46,2013-08-24,263890
46,2013-08-24,25000
46,2013-08-24,740430
46,2013-08-24,165150
46,2013-08-24,40850
68,2013-08-24,15000
18,2013-08-25,341000
51,2013-08-25,89300
51,2013-08-25,4000000
51,2013-08-25,3000000
51,2013-08-25,195000
8,2013-08-26,100000
31,2013-08-27,26600
46,2013-08-29,81510
46,2013-08-29,78850
46,2013-08-29,25000
46,2013-08-29,920700
76,2013-08-30,1001300
76,2013-08-30,677350
76,2013-08-30,266000
36,2013-09-01,528500
36,2013-09-01,150500
99,2013-09-01,499700
99,2013-09-01,283100
99,2013-09-01,278630
99,2013-09-01,31800
99,2013-09-01,809400
6,2013-09-02,1008900
14,2013-09-02,1691000
14,2013-09-02,1434500
6,2013-09-03,1004400
36,2013-09-03,338200
36,2013-09-03,290700
46,2013-09-03,900000
46,2013-09-03,480600
6,2013-09-04,600300
36,2013-09-05,172900
36,2013-09-05,84550
36,2013-09-05,84550
46,2013-09-05,499034
4,2013-09-06,93100
4,2013-09-06,55190
4,2013-09-06,121600
6,2013-09-06,317200
6,2013-09-06,133380
6,2013-09-06,123120
6,2013-09-06,93100
36,2013-09-06,84550
8,2013-09-07,527250
8,2013-09-07,375250
76,2013-09-08,204300
99,2013-09-08,303050
99,2013-09-08,213750
99,2013-09-08,25050
99,2013-09-08,30210
8,2013-09-09,1662500
18,2013-09-09,116240
76,2013-09-15,509200
6,2013-09-16,175000
6,2013-09-16,175000
6,2013-09-16,168000
14,2013-09-17,364800
14,2013-09-17,310650
46,2013-09-21,25000
31,2013-09-22,75140
31,2013-09-22,93100
36,2013-09-22,105000
36,2013-09-22,86000
36,2013-09-22,16400
36,2013-09-22,34000
36,2013-09-22,22800
76,2013-09-22,702050
68,2013-09-23,23900
27,2013-09-24,313500
27,2013-09-24,119000
36,2013-09-24,24500
27,2013-09-25,1140000
27,2013-09-25,1332000
27,2013-09-25,765700
6,2013-09-26,72200
31,2013-09-26,437760
31,2013-09-26,134400
31,2013-09-26,173280
99,2013-09-26,60800
99,2013-09-26,63940
99,2013-09-29,79890
99,2013-09-29,24500
99,2013-09-30,174000
99,2013-09-30,38390
36,2013-10-03,109250
99,2013-10-04,335700
99,2013-10-04,207000
99,2013-10-04,203300
51,2013-10-05,118400
4,2013-10-07,3622350
36,2013-10-07,109250
36,2013-10-07,39000
36,2013-10-07,33600
36,2013-10-07,27200
36,2013-10-07,20800
99,2013-10-09,149930
99,2013-10-09,10060
4,2013-10-11,121600
4,2013-10-11,115520
31,2013-10-17,114000
31,2013-10-17,332000
31,2013-10-17,245000
36,2013-10-17,49000
76,2013-10-18,197600
76,2013-10-18,53200
76,2013-10-18,953800
76,2013-10-18,38350
76,2013-10-18,20900
99,2013-10-18,378100
6,2013-10-20,143450
31,2013-10-20,117000
31,2013-10-20,38000
31,2013-10-20,20000
31,2013-10-20,20000
99,2013-10-23,735300
99,2013-10-23,278350
46,2013-10-27,259350
68,2013-10-28,17000
31,2013-10-29,247000
31,2013-10-29,20000
14,2013-10-30,395200
14,2013-10-30,170050
14,2013-10-30,124000
68,2013-10-30,820000
68,2013-10-30,280000
99,2013-10-30,86570
8,2013-11-01,238800
8,2013-11-01,474000
18,2013-11-01,23460
18,2013-11-01,20000
18,2013-11-01,90000
31,2013-11-01,398400
31,2013-11-01,247000
18,2013-11-02,57000
18,2013-11-02,6990
18,2013-11-02,330600
18,2013-11-02,63000
8,2013-11-04,160000
36,2013-11-07,37500
36,2013-11-07,207000
36,2013-11-07,60000
46,2013-11-07,868500
68,2013-11-07,3920000
36,2013-11-10,520000
36,2013-11-10,300000
68,2013-11-10,18000
36,2013-11-11,157000
68,2013-11-11,830000
6,2013-11-12,114760
6,2013-11-12,498000
36,2013-11-12,250000
68,2013-11-12,80000
4,2013-11-13,170050
4,2013-11-13,140600
4,2013-11-13,309320
99,2013-11-13,163400
99,2013-11-13,39000
99,2013-11-13,55490
4,2013-11-14,132050
4,2013-11-14,63650
4,2013-11-14,39900
14,2013-11-14,248500
14,2013-11-14,69000
27,2013-11-14,1400000
27,2013-11-15,845500
31,2013-11-21,147000
36,2013-11-22,74320
6,2013-11-23,890000
6,2013-11-23,120000
6,2013-11-23,200000
68,2013-11-23,20000
68,2013-11-24,490000
18,2013-11-26,8000000
31,2013-11-28,11730
8,2013-11-29,294500
6,2013-12-01,15000
6,2013-12-01,89000
36,2013-12-02,35000
36,2013-12-02,70000
36,2013-12-02,79000
99,2013-12-04,23000
4,2013-12-05,132050
4,2013-12-05,283480
4,2013-12-05,92340
14,2013-12-05,691600
6,2013-12-06,600400
99,2013-12-06,131350
36,2013-12-09,178000
36,2013-12-12,152000
36,2013-12-12,109250
51,2013-12-12,181300
51,2013-12-12,308000
36,2013-12-16,49000
68,2013-12-16,2700000
14,2013-12-17,237500
14,2013-12-17,315000
68,2013-12-17,1000000
68,2013-12-17,1000000
31,2013-12-18,389500
36,2013-12-18,40850
46,2013-12-18,136710
8,2013-12-20,67450
36,2013-12-21,4000000
6,2013-12-23,19000
99,2013-12-23,1171800
6,2013-12-26,500000
31,2013-12-28,75000
